Timestamp,Temperature,Humidity,VPD
2025-10-25 13:42:29,21.375,34.5,1.667
2025-10-25 13:42:35,21.3125,34.4375,1.662
2025-10-25 13:42:40,21.3125,34.5,1.66
2025-10-25 13:42:45,21.3125,34.625,1.657
2025-10-25 13:42:51,21.375,34.625,1.664
2025-10-25 13:42:56,21.3125,34.625,1.657
2025-10-25 13:43:01,21.375,34.625,1.664
2025-10-25 13:43:07,21.3125,34.625,1.657
2025-10-25 13:43:12,21.3125,34.625,1.657
2025-10-25 13:43:17,21.3125,34.625,1.657
2025-10-25 13:43:23,21.3125,34.5625,1.659
2025-10-25 13:43:28,21.375,34.5,1.667
2025-10-25 13:43:33,21.375,34.625,1.664
2025-10-25 13:43:39,21.375,34.5625,1.665
2025-10-25 13:43:44,21.3125,34.5,1.66
